Country,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Belgium,41,40,44,43,33,35,38,47,46,48.8,50.1,43.8
Bulgaria,,16,8,11,8,7,7,8,11,11.2,9,12.5
Czech Republic,2,2,2,2,3,3,5,3,2,4.4,2.9,4.7
Denmark,73,73,70,73,73,77,74,67,65,69.6,77.3,70
Germany,16,17,17,19,19,20,24,24,27,27.5,25.9,32.6
Estonia,11,19,15,16,25,21,19,18,20,19.5,21.5,30.2
Ireland,20,18,23,24,20,29,21,31,28,27.4,30.6,28.6
Greece,8,10,9,12,11,8,19,20,14,12.8,11.4,8.9
Spain,38,37,39,38,33,37,39,36,36,37,39.7,39.3
France,32,31,27,40,41,42,44,40,39,39.5,41.8,48.9
Croatia,,,,,,11,14,11,11,17.1,11.8,15.6
Italy,25,25,24,27,25,22,26,20,21,22.9,27.3,34.4
Cyprus,19,25,19,29,20,25,24,26,24,25.5,20.8,24.9
Latvia,16,17,16,13,15,18,16,24,23,21.6,22.8,28.3
Lithuania,11,5,20,9,11,14,9,8,10,22.9,9.7,15.2
Luxembourg,22,31,25,26,34,36,43,48,46,49,51.9,50.9
Hungary,7,8,8,7,7,9,8,8,10,14.3,15.3,15.6
Malta,5,7,9,14,8,9,12,17,21,18.2,17.9,31.4
Netherlands,40,45,42,47,49,50,52,46,46,44.6,46.3,53
Austria,4,4,8,6,10,9,14,13,17,16,22.2,20.5
Poland,2,3,3,3,3,2,3,6,5,5.6,5.4,7.8
Portugal,30,33,27,33,36,37,35,34,37,44.9,47.2,49.9
Romania,,,6,9,5,8,2,15,6,2.6,9.4,17.4
Slovenia,24,28,30,30,31,36,37,38,39,37.3,37.4,39.5
Slovakia,3,5,2,2,3,3,4,5,3,6.5,1.1,0.5
Finland,26,26,26,26,27,28,26,29,29,33.2,32.6,32.6
Sweden,52,44,47,49,63,51,51,53,55,56.7,64,51
United Kingdom,29,33,38,35,35,34,34,27,30,28.9,30.4,28.5
Iceland,41,33,41,40,41,40,39,41,44,42.8,43.8,100
Liechtenstein,,,,,,,,,,,,
Norway,34,34,32,37,41,48,42,43,46,54.6,52.2,52.1
Switzerland,,,2,3,25,26,24,29,32,29.8,,
Montenegro,,,,,,,,,,,,
Former Yugoslav Republic of Macedonia,,,,,,,,,,5.9,6.1,9
Albania,,,,,,,,,,,,
Serbia,,,,,,,,,,11.1,14,18.1
Turkey,,0,0,0,0,,,,,,,
